t_int_k,log_g_cgs,mass_mjup,req_rjup,age_myr,metallicity_solar_dex,f070w_jy_10pc,f090w_jy_10pc,f115w_jy_10pc,f140m_jy_10pc,f150w_jy_10pc,f150w2_jy_10pc,f162m_jy_10pc,f164n_jy_10pc,f182m_jy_10pc,f187n_jy_10pc,f200w_jy_10pc,f210m_jy_10pc,f212n_jy_10pc,f250m_jy_10pc,f277w_jy_10pc,f300m_jy_10pc,f322w2_jy_10pc,f323n_jy_10pc,f335m_jy_10pc,f356w_jy_10pc,f360m_jy_10pc,f405n_jy_10pc,f410m_jy_10pc,f430m_jy_10pc,f444w_jy_10pc,f460m_jy_10pc,f466n_jy_10pc,f470n_jy_10pc,f480m_jy_10pc,f560w_jy_10pc,f770w_jy_10pc,f1000w_jy_10pc,f1065c_jy_10pc,f1130w_jy_10pc,f1140c_jy_10pc,f1280w_jy_10pc,f1500w_jy_10pc,f1550c_jy_10pc,f1800w_jy_10pc,f2100w_jy_10pc,f2300c_jy_10pc,f2550w_jy_10pc
200.0,3.0,0.5342584124768435,1.1492498461366307,192.75249131909368,0.0,2.837265648662566e-10,1.2767327535490093e-10,1.78237876744809e-11,1.5988215745080948e-14,2.5556419010641337e-11,1.2980756402389751e-11,5.597576014951105e-11,6.017276940250258e-13,2.447935666196064e-13,1.6364396738834337e-13,5.356732999762999e-13,9.993094630025924e-13,1.108153697818488e-12,1.257766432451255e-11,9.155878059757847e-11,2.6890569500292476e-10,2.103294082644851e-08,6.334320007697678e-13,2.2719564377352694e-10,3.401731252517909e-08,1.7959738131969198e-08,4.45758876355946e-07,1.7498466886246575e-06,6.955045892395348e-06,7.945111566183573e-06,1.7836104164296004e-05,1.3492735285371635e-05,1.6687835113653897e-05,1.1355336278419364e-05,8.132049246541529e-07,1.5198474529284792e-06,1.1579771775189386e-06,1.166272405081966e-06,4.070052394402334e-06,4.184080195674275e-06,8.470323552770229e-06,1.3539418114050739e-05,1.2959850747551404e-05,1.8793168168032686e-05,3.014393884279468e-05,3.375203789679263e-05,3.250872973854343e-05
225.0,3.0,0.5656853779166577,1.172604627091143,128.52866599436152,0.0,4.781894606659081e-10,5.176068319505691e-10,1.9787913352337398e-10,2.923479144387683e-13,1.6707058757733152e-10,1.1352721916616395e-10,3.662688627587838e-10,8.896107044092277e-12,3.6224299841669807e-12,2.518836627841734e-12,1.2708666993928173e-11,2.6332979436755146e-11,3.719632211619554e-11,1.0372895435738714e-10,5.185611776858396e-10,1.5484600317618217e-09,7.474807281756632e-08,1.0199995965937212e-11,1.4210193769960027e-09,1.2456613801138878e-07,7.291216599950667e-08,1.4197111723252706e-06,4.031809464434654e-06,1.4358200050677093e-05,1.5995580286146698e-05,3.449054048144204e-05,2.6748534939635423e-05,3.238918349968776e-05,2.3157944032250743e-05,1.762381803102171e-06,2.871441679790806e-06,3.3242983956491316e-06,3.03179617008547e-06,1.0120454110965417e-05,1.0466464385521957e-05,1.698634732536616e-05,2.7422055153931565e-05,2.656439932030005e-05,3.480967752324007e-05,4.718456982481568e-05,4.979663541644856e-05,4.5930375926081756e-05
250.0,3.0,0.5866366882098671,1.194986292172551,88.10488730080147,0.0,7.182902972965265e-10,1.5805200152842598e-09,1.610274813009426e-09,3.366665743686231e-12,8.302330159249546e-10,8.000184448551007e-10,1.8217970730918705e-09,8.135795056053969e-11,3.6906256858412085e-11,2.998472015797053e-11,1.756305251873132e-10,3.797519389713324e-10,6.24165845090975e-10,6.83439380986022e-10,2.449063241844745e-09,7.012938009624139e-09,2.160727503393286e-07,1.0078595144150286e-10,6.4595163226962595e-09,3.6719774035879973e-07,2.3534230352347566e-07,3.779201079618791e-06,8.425583753398269e-06,2.682872290666664e-05,2.940356573672506e-05,6.0883554576139575e-05,4.8506506799997096e-05,5.739842822249427e-05,4.3003123363054426e-05,3.613266545234521e-06,5.079254803650207e-06,7.753539433595979e-06,6.458029135322343e-06,2.0777820975042673e-05,2.156750959898169e-05,2.956650565082946e-05,4.707604832565838e-05,4.579309531517437e-05,5.5705746694155484e-05,6.567498768172063e-05,6.578092861041911e-05,5.817012539626888e-05
275.0,3.0,0.597112343356472,1.2144486096346445,61.37620051647945,0.0,1.064143018224318e-09,3.9902490236214175e-09,1.0507514548655524e-08,2.6019563102631534e-11,3.3135993777908747e-09,4.747882909415977e-09,7.274447267114854e-09,4.886523593428333e-10,2.574542111926459e-10,2.3933157564053845e-10,1.4608310795054203e-09,3.2173625326955968e-09,5.823713479437516e-09,3.3535130445056117e-09,9.42757508527417e-09,2.5368804402999388e-08,5.226368167369367e-07,7.072940424045746e-10,2.2703875677585094e-08,8.999119108700523e-07,6.233041235019454e-07,8.521185113792291e-06,1.5977175290586408e-05,4.588809196198676e-05,4.970499105762347e-05,9.908319448927675e-05,8.087233825288442e-05,9.369145856727325e-05,7.302978128733648e-05,6.807693586937414e-06,8.483987109859955e-06,1.561349037969651e-05,1.2017108988505196e-05,3.7256323846660396e-05,3.8761448670024125e-05,4.679505908852536e-05,7.24269171733695e-05,7.050176668539846e-05,8.162064078549339e-05,8.613903457724281e-05,8.277515449305723e-05,7.074569216278605e-05
300.0,3.0,0.6180636536496816,1.2358571588429474,43.45102241715714,0.0,1.4969248567600357e-09,9.021941360357367e-09,5.712155216230426e-08,1.5170503674593345e-10,1.1574440320922392e-08,2.4199143783392192e-08,2.5398028137728198e-08,2.173201519399967e-09,1.329841862133162e-09,1.365840543072505e-09,8.180879579457481e-09,1.8142619820386135e-08,3.497035169434597e-08,1.2784978440332094e-08,3.049298920383801e-08,7.685993272617567e-08,1.1084088890158666e-06,3.6897759857015044e-09,6.61606860555998e-08,1.9244206125416987e-06,1.4213466164728288e-06,1.6970709523891014e-05,2.8067258854146753e-05,7.360375990609086e-05,7.897688493998857e-05,0.00015205475297324966,0.0001266193267510944,0.0001440456010246377,0.00011587773561551256,1.1915163332180006e-05,1.3545654682426904e-05,2.8164367335775486e-05,2.0309535932282255e-05,6.056197087277581e-05,6.308120779076963e-05,6.927874312745171e-05,0.0001031810635267592,0.00010032288205780006,0.0001125122992965766,0.000109043554554366,0.00010160147198997657,8.480080988896922e-05
325.0,3.0,0.6494906190894959,1.2572657080512506,31.260793671239558,0.0,2.053997922510627e-09,1.9706069039891086e-08,2.537464645864966e-07,7.28785964364719e-10,3.7748526172405864e-08,1.0360960070404839e-07,8.267991091178692e-08,7.837905085356159e-09,5.458835409516779e-09,6.031148196178179e-09,3.422157551537397e-08,7.596263129545546e-08,1.523000338984789e-07,3.9957655661880577e-08,8.534930716135464e-08,2.0220877584014452e-07,2.133536121438821e-06,1.4900471117870976e-08,1.669167807211059e-07,3.722202530178504e-06,2.894009817065042e-06,3.0888726265127546e-05,4.655860935229585e-05,0.00011282361216489928,0.00011992231400236042,0.00022382057133190362,0.00018932152757774652,0.00021203131167398507,0.00017470285407634328,1.9597469625587176e-05,2.077303725572564e-05,4.675197908845075e-05,3.1981586216666075e-05,9.15587805975786e-05,9.543331283085366e-05,9.763375665826428e-05,0.00013902727164839777,0.00013480313738130904,0.00014791083881682065,0.00013427649611378638,0.00012220810223250562,0.00010046157902783956
350.0,3.0,0.6704419293827055,1.277701141386449,22.490546058357825,0.0,2.7083201442989517e-09,4.193725496662338e-08,8.928941960649822e-07,2.9518888459446117e-09,1.1574440320922362e-07,3.601637503947277e-07,2.527551422602121e-07,2.3806743896254422e-08,1.8407720014689545e-08,2.15724762733788e-08,1.1373653676160634e-07,2.519416678187036e-07,5.142804319487914e-07,1.0507514548655498e-07,2.0883341959395876e-07,4.674121528671505e-07,3.7705091583339276e-06,4.784097257646793e-08,3.6889264811899636e-07,6.579607697293408e-06,5.32108259266794e-06,5.198762768142839e-05,7.30802459009109e-05,0.0001655769963469528,0.00017422079854237247,0.0003161549602652293,0.00027052038697193524,0.0002990886965063825,0.00025078410100331643,3.038085556465543e-05,3.0492989203838002e-05,7.227698036021701e-05,4.758827909888171e-05,0.00013001695780332891,0.0001355189412351035,0.00013152248321922371,0.00017827892225796675,0.00017242490683416417,0.00018590882242920206,0.00016062013995885976,0.00014371430533563896,0.00011708466023202405
375.0,3.0,0.6913932396759149,1.2981365747216471,16.180800376430646,0.0,3.472961748657919e-09,8.699614330652658e-08,2.5474167494427924e-06,1.0237643446432764e-08,3.296856163568906e-07,1.0339511009823713e-06,7.164732823911088e-07,6.325574863525836e-08,5.328439020411988e-08,6.579607697293406e-08,3.199631767318349e-07,7.059923578936679e-07,1.4364813768904903e-06,2.4165734514368274e-07,4.589865930219981e-07,9.756633693709554e-07,6.240221421389768e-06,1.2717448862880676e-07,7.316443109490721e-07,1.0856754065290235e-05,9.032334235672465e-06,8.256576326213261e-05,0.0001100525221420542,0.00023550492838960108,0.0002449627224424395,0.0004334110703101767,0.0003739383436431516,0.00040888389026769753,0.0003470563540079874,4.511282252715862e-05,4.3181726262372695e-05,0.00010558445924300799,6.757716993552867e-05,0.00017599486638014713,0.00018340028237392729,0.0001712379421244927,0.00022090217909438703,0.00021301000374112516,0.00022636016404497514,0.00018853847936139458,0.00016653288277850234,0.00013505168278550394
400.0,3.0,0.7018688948225198,1.3166257763106362,11.88502227437019,0.0,4.4289420719863615e-09,1.7422079854237252e-07,6.0785500923652155e-06,3.036686788465782e-08,8.398466611579151e-07,2.508418528252384e-06,1.8100892952707563e-06,1.4917635798096554e-07,1.3539418114050757e-07,1.749041039966302e-07,7.866834251584498e-07,1.727428179673534e-06,3.4308363277495056e-06,4.962494060797451e-07,9.189671773189248e-07,1.8655203891005965e-06,9.722993602579226e-06,2.8747494529363727e-07,1.3167399127216204e-06,1.6807379257087365e-05,1.426264261352617e-05,0.00012407949007361,0.0001587084316550868,0.00032337020353739095,0.0003322002844616506,0.0005735879248421339,0.0004984252094042601,0.0005398834319992118,0.00046227456649108905,6.419482215080364e-05,5.870836693962707e-05,0.00014601584968117876,9.141132414702504e-05,0.0002276145393141642,0.0002370827739546284,0.00021527817347243727,0.0002649110048516276,0.00025468302525850396,0.00026705456121918974,0.00021657084947100742,0.00018953961755993436,0.0001533557272995817
425.0,3.0,0.7228202051157292,1.3331687461534159,9.141132414702508,0.0,5.569292144857995e-09,3.3258296441911707e-07,1.2659017493002474e-05,7.764258747121115e-08,1.8810485289187029e-06,5.325985748490616e-06,4.001289735406987e-06,3.15500462337463e-07,3.076805193759751e-07,4.1152857843551026e-07,1.7290199327406807e-06,3.7765914014526616e-06,7.189521718666408e-06,9.255502447634357e-07,1.6986347325366173e-06,3.312836481172812e-06,1.4351589377477893e-05,5.674139384779086e-07,2.175704950925797e-06,2.4581025650893435e-05,2.1134890398366472e-05,0.0001772148045135119,0.00021948255137007214,0.0004290421892388855,0.0004349106072324535,0.000733499800401549,0.0006416526614874054,0.0006896043621637035,0.0005942921586155726,8.790225168308834e-05,7.693075595060688e-05,0.00019319683170169254,0.00011876815226774689,0.0002839880070698583,0.0002956650565082944,0.0002628451694533875,0.000309528041659398,0.00029668801300210024,0.0003071142726067833,0.0002441743273496737,0.00021222668969007836,0.0001716722107858095
